Test,ID,Trial_Num,Hand_Prediction,Hand_Latency,Body_Prediction,Body_Latency,FamTrialLength_ms,Fam_Distracter,Fam_Goal,Fam_Hand,Fam_Screen,TestTrialLength_ms,Test_Body,Test_Distracter,Test_Goal,Test_Hand,Test_Screen
Test1,M06,1,No Prediction,NA,No Prediction,NA,9273.0,99.8,1435.7,227.6,3099.2000000000003,2204.0,347.6,NA,NA,219.4,347.6
Test1,M06,2,Goal,2193.0,Goal,4725.0,9616.0,219.4,2910.8999999999996,304.59999999999997,4272.3,5235.0,2033.3999999999999,NA,398.6,398.6,2432.1000000000004
Test1,M06,3,No Prediction,NA,No Prediction,NA,9273.0,999.1999999999999,378.8,279.2,1956.1,2480.0,454.0,NA,NA,NA,454.0
Test1,M06,4,Distracter,479.0,Goal,1515.0,9273.0,NA,1475.5,239.7,2816.2,4408.0,572.6999999999999,203.1,1020.1,119.6,1795.8
Test1,M06,5,No Prediction,NA,Goal,2154.0,9616.0,285.0,2346.5,17.5,2968.0,4133.0,597.9,159.5,239.0,NA,996.4
Test1,M06,6,Goal,398.0,Goal,398.0,9273.0,749.6,1376.1000000000001,239.0,3060.6,3031.0,79.8,638.1,455.2,79.8,1173.0
Test1,M06,7,Goal,478.0,Goal,478.0,9273.0,957.0999999999999,1458.2,79.8,3391.9,2755.0,159.5,119.5,79.60000000000001,79.8,358.70000000000005
Test1,M06,8,No Prediction,NA,Distracter,957.0,9273.0,597.7,2159.2,383.0,3874.0,2480.0,398.8,339.3,NA,NA,738.1
Test1,M07,3,Goal,499.0,Distracter,1595.0,NA,NA,NA,NA,NA,5490.0,NA,NA,NA,NA,NA
Test1,M07,4,No Prediction,NA,No Prediction,NA,9479.0,837.5,1315.8000000000002,852.8,6394.700000000001,8073.0,1593.5,NA,NA,1560.5,1593.5
Test1,M07,5,No Prediction,NA,Distracter,1455.0,9115.0,358.8,NA,NA,1216.1,2906.0,540.8,199.4,NA,NA,840.0
Test1,M07,6,No Prediction,NA,Distracter,2014.0,9479.0,1997.4,1775.9,1215.0,7378.2,2906.0,1130.7,637.8000000000001,NA,67.9,2027.6999999999998
Test1,M07,7,No Prediction,NA,Goal,160.0,9479.0,2906.4,778.5,338.9,6629.0,3875.0,244.60000000000002,638.0,717.8,119.7,1600.4
Test1,M07,8,No Prediction,NA,Goal,1116.0,9115.0,1240.6,1295.4,NA,3592.1,3552.0,259.1,445.40000000000003,838.0,NA,1542.6
Test1,M08,1,NA,NA,NA,NA,NA,279.1,1664.7,79.69999999999999,2142.9,NA,NA,NA,NA,NA,NA
Test1,M08,2,No Prediction,NA,No Prediction,NA,7911.0,NA,1627.3,NA,2783.7999999999997,9042.0,NA,955.4,358.9,NA,1314.3
Test1,M08,3,NA,NA,NA,NA,NA,NA,936.9,721.4000000000001,1658.3000000000002,NA,NA,NA,NA,NA,NA
Test1,M08,4,No Prediction,NA,No Prediction,NA,8396.0,NA,NA,NA,139.6,2906.0,NA,63.3,127.1,NA,310.09999999999997
Test1,M08,5,No Prediction,NA,No Prediction,NA,7937.0,1025.3000000000002,1493.1000000000001,638.1,3794.2999999999997,3875.0,NA,638.0,359.0,NA,997.1
Test1,M08,6,No Prediction,NA,Goal,479.0,8396.0,99.5,1218.9,NA,1318.5,8396.0,1392.7,1036.7,478.5,792.6,2907.9
Test1,M08,7,Goal,1356.0,Goal,1356.0,8719.0,1398.9,829.9,3.9,2990.4,2583.0,681.1,NA,421.5,578.3000000000001,1102.6000000000001
Test1,M08,8,No Prediction,NA,No Prediction,NA,8396.0,603.6,1163.8999999999999,837.2,3239.1,2583.0,NA,578.3000000000001,526.6999999999999,NA,1105.0
Test1,M09,1,No Prediction,NA,Goal,1754.0,7694.0,458.5,917.0,538.2,2307.9,3847.0,1315.9,NA,179.5,279.1,1495.4
Test1,M09,2,No Prediction,NA,No Prediction,NA,8286.0,NA,1335.8000000000002,299.0,2970.6,2959.0,199.3,NA,NA,199.3,199.3
Test1,M09,3,No Prediction,NA,Distracter,1575.0,7990.0,NA,618.1,678.0,3667.8,5510.0,1543.3,119.6,279.2,139.5,1942.1
Test1,M09,4,No Prediction,NA,Distracter,459.0,8286.0,NA,1340.8,NA,3253.1,2959.0,279.3,437.40000000000003,NA,NA,716.7
Test1,M09,5,No Prediction,NA,Goal,1834.0,7990.0,NA,1081.5,578.3000000000001,2400.9,2959.0,1099.6999999999998,NA,299.0,257.40000000000003,1398.7
Test1,M09,6,No Prediction,NA,Distracter,5223.0,8582.0,NA,1093.3,NA,3260.6000000000004,5398.0,1414.3,85.9,NA,NA,1500.2
Test1,M09,7,Goal,857.0,Goal,857.0,7694.0,3062.6000000000004,737.5,NA,5074.6,2959.0,144.2,1015.2,258.40000000000003,79.9,1417.8999999999999
Test1,M09,8,No Prediction,NA,No Prediction,NA,8583.0,NA,321.1,323.29999999999995,1508.5,2367.0,530.0,NA,NA,315.59999999999997,928.6999999999999
Test1,M10,1,No Prediction,NA,Goal,152.0,9571.0,338.9,2559.0,255.7,4868.9,3e3,75.80000000000001,598.1999999999999,895.5999999999999,NA,1569.6000000000001
Test1,M10,2,Distracter,678.0,Goal,399.0,9143.0,719.1999999999999,2575.7,581.2,5317.1,3571.0,597.9,530.5,378.59999999999997,418.5,1506.8999999999999
Test1,M10,3,No Prediction,NA,Distracter,240.0,8857.0,638.1,2275.9,299.0,4112.8,2e3,182.60000000000002,342.9,495.0,NA,1020.5
Test1,M10,4,No Prediction,NA,Distracter,2652.0,9e3,518.4,1361.3999999999999,329.5,3504.1000000000004,5e3,799.5,349.5,618.1,NA,1767.2
Test1,M10,5,No Prediction,NA,No Prediction,NA,9e3,156.9,2392.7000000000003,372.90000000000003,3838.0,1143.0,100.9,NA,119.9,NA,220.79999999999998
Test1,M10,6,Goal,2552.0,Goal,3808.0,9e3,581.8,2479.7,1293.5,5014.3,4714.0,2015.3,NA,299.0,1297.7,2314.2999999999997
Test1,M10,7,No Prediction,NA,No Prediction,NA,9143.0,1079.6,NA,195.70000000000002,2611.9,2143.0,170.3,NA,NA,79.8,170.3
Test1,M10,8,No Prediction,NA,No Prediction,NA,9143.0,600.8,923.1,857.9,3172.6,1143.0,121.30000000000001,558.2,NA,121.30000000000001,679.6
Test2,M11,1,Goal,2313.0,Goal,3885.0,8364.0,99.6,2617.2,1245.8,7217.9000000000005,4e3,3427.7000000000003,NA,117.5,1674.9,3545.2
Test2,M11,2,No Prediction,NA,Distracter,1794.0,9091.0,1321.3999999999999,NA,1090.2,4281.6,8727.0,4816.2,319.29999999999995,NA,1513.3000000000002,5135.5
Test2,M11,3,No Prediction,NA,No Prediction,NA,8364.0,NA,2362.1,1834.3,7647.0,6182.0,4705.9,NA,NA,1136.2,4984.9
Test2,M11,4,No Prediction,NA,No Prediction,NA,8727.0,NA,NA,NA,637.9,9455.0,1333.8000000000002,NA,NA,NA,1333.8000000000002
Test2,M11,5,NA,NA,NA,NA,NA,714.3000000000001,817.5,2793.6,5840.6,NA,NA,NA,NA,NA,NA
Test2,M11,6,Distracter,300.0,Distracter,2612.0,8e3,NA,1597.5,2327.9,6263.9,3636.0,2113.2,921.6,NA,259.29999999999995,3034.8
Test2,M11,7,No Prediction,NA,Goal,1515.0,7636.0,NA,1275.9,NA,5968.4,8727.0,2829.4,NA,618.8000000000001,757.7,3448.2
Test2,M11,8,No Prediction,NA,Goal,1335.0,8e3,1200.3,NA,498.5,3881.4,9091.0,539.0,737.6,259.2,NA,1535.9
Test2,M12,1,No Prediction,NA,No Prediction,NA,7917.0,498.40000000000003,2806.6,239.1,5181.8,4583.0,3317.2999999999997,NA,NA,1953.7,3835.7999999999997
Test2,M12,2,No Prediction,NA,Distracter,1815.0,8333.0,NA,2355.9,1874.1000000000001,6602.5,3333.0,2357.8,536.5,NA,701.5,2894.4
Test2,M12,3,No Prediction,NA,Goal,1853.0,7917.0,NA,2750.4,1277.4,7079.6,2917.0,1713.7,NA,982.6,NA,2696.2999999999997
Test2,M12,4,Goal,837.0,Goal,3628.0,8750.0,518.3,3350.0,657.8000000000001,7473.8,5e3,3767.1,NA,501.2,996.5,4567.2
Test2,M12,5,No Prediction,NA,No Prediction,NA,7917.0,1076.7,1355.6,1678.3999999999999,6662.9,9167.0,3384.3,NA,NA,490.20000000000005,3902.8
Test2,M12,6,No Prediction,NA,No Prediction,NA,8333.0,1103.1,3027.8999999999996,1634.9,7213.4,7083.0,5562.700000000001,NA,NA,1176.3999999999999,5562.700000000001
Test2,M12,7,Distracter,5206.0,Distracter,7957.0,8333.0,1054.1000000000001,1315.8000000000002,681.2,6928.200000000001,8854.0,3706.5,138.3,NA,1097.1,4024.4
Test2,M12,8,Distracter,2438.0,Distracter,5947.0,7917.0,NA,NA,NA,996.0,7083.0,5511.8,800.6,NA,1834.3,6312.4000000000005
Test2,M13,2,No Prediction,NA,Distracter,658.0,8360.0,NA,NA,NA,NA,1650.0,NA,NA,NA,NA,NA
Test2,M13,3,No Prediction,NA,No Prediction,NA,8470.0,NA,NA,NA,NA,990.0,NA,NA,NA,NA,NA
Test2,M13,4,No Prediction,NA,Goal,319.0,8910.0,NA,NA,NA,NA,1100.0,NA,NA,NA,NA,NA
Test2,M13,5,Goal,897.0,Goal,678.0,8580.0,NA,NA,NA,NA,4290.0,NA,NA,NA,NA,NA
Test2,M13,6,No Prediction,NA,No Prediction,NA,8360.0,NA,NA,NA,NA,8910.0,NA,NA,NA,NA,NA
Test2,M13,7,Distracter,825.0,Distracter,825.0,8360.0,NA,NA,NA,NA,1320.0,NA,NA,NA,NA,NA
Test2,M13,8,Distracter,2851.0,Distracter,957.0,8470.0,NA,NA,NA,NA,4840.0,NA,NA,NA,NA,NA
Test2,M14,1,Distracter,3509.0,Distracter,1694.0,8750.0,239.2,2153.4,458.6,6919.1,6611.0,4844.1,1075.5,139.6,2092.9,6059.2
Test2,M14,2,Distracter,1783.0,Distracter,1783.0,8102.0,737.8,1193.3,981.1,5971.9,2333.0,1664.1999999999998,509.8,NA,486.20000000000005,2174.1000000000004
Test2,M14,3,Goal,2851.0,Goal,1874.0,8491.0,NA,1295.9,1674.7,7707.6,6222.0,4371.1,501.4,816.1,938.8,5688.5
Test2,M14,4,Goal,1795.0,Goal,1795.0,8491.0,NA,1471.8,1116.4,6544.5,2463.0,1606.9,NA,675.6,232.2,2282.5
Test2,M14,5,No Prediction,NA,No Prediction,NA,8750.0,159.6,NA,256.1,1914.9,8750.0,717.8,NA,NA,NA,717.8
Test2,M14,6,Distracter,5283.0,Distracter,6479.0,NA,NA,NA,NA,NA,8296.0,NA,NA,NA,NA,NA
Test2,M14,7,No Prediction,NA,Distracter,890.0,8296.0,NA,1176.3999999999999,957.0,6905.2,3306.0,1221.0,1076.5,NA,591.6,2297.5
Test2,M14,8,No Prediction,NA,No Prediction,NA,8491.0,142.9,776.0,618.1,5105.6,8361.0,NA,NA,99.7,NA,99.7
Test2,M15,1,No Prediction,NA,Goal,279.0,8954.0,478.5,2890.1,1076.5,7943.9000000000005,3229.0,936.4,717.9,1196.1999999999998,228.8,2850.5
Test2,M15,2,No Prediction,NA,Goal,299.0,9174.0,NA,3628.6,996.1999999999999,8556.900000000001,1835.0,216.9,531.8000000000001,761.1,NA,1509.7
Test2,M15,3,Distracter,598.0,Goal,219.0,9101.0,554.4,3645.9,1477.3,8095.9000000000005,4550.0,1295.7,1754.3,937.2,498.40000000000003,3987.2000000000003
Test2,M15,4,Goal,2166.0,Goal,3349.0,8954.0,2233.5,3328.3,NA,8286.0,5431.0,3715.0,NA,1295.8,1310.7,5010.7
Test2,M15,5,No Prediction,NA,No Prediction,NA,8954.0,1714.6999999999998,2774.9,1399.7,8440.300000000001,954.0,8.0,128.70000000000002,655.6999999999999,8.0,792.4
Test2,M15,6,Distracter,678.0,Goal,598.0,8954.0,NA,3430.2999999999997,1796.7,8317.1,3817.0,2257.4,199.4,818.9,599.9,3275.7000000000003
Test2,M15,7,No Prediction,NA,Goal,837.0,8954.0,1393.3,3447.2,1654.8,8498.0,3156.0,777.4,689.9,1318.1000000000001,NA,2785.4
Test2,M15,8,Distracter,219.0,Goal,2134.0,8881.0,199.4,2412.3,1874.5,8266.0,4037.0,2213.9,737.5,478.8,180.4,3549.9
Test2,M15,9,Goal,618.0,No Prediction,NA,NA,NA,NA,NA,NA,3743.0,NA,NA,NA,NA,NA
Test2,M16,1,Distracter,6131.0,Distracter,7855.0,9065.0,872.1999999999999,1152.1999999999998,NA,3708.2000000000003,8556.0,4860.0,248.29999999999998,272.6,3325.1,5381.0
Test2,M16,2,No Prediction,NA,No Prediction,NA,9065.0,1482.3,813.1,NA,3695.2,8148.0,6889.3,NA,199.4,3976.5,7088.7
Test2,M16,3,Goal,3010.0,Goal,678.0,9167.0,382.29999999999995,3372.2,2088.7,8305.1,6213.0,4084.3999999999996,270.9,1316.0,2293.1,5671.299999999999
Test2,M16,4,Distracter,877.0,Distracter,877.0,9065.0,NA,2927.0,1973.6,7393.9000000000005,2241.0,219.29999999999998,1084.2,NA,219.29999999999998,1861.9
Test2,M16,5,No Prediction,NA,Goal,1176.0,8963.0,984.9,3588.0,2706.7999999999997,7980.4000000000005,2444.0,1791.9,NA,435.7,714.4000000000001,2227.6
Test2,M16,6,Distracter,797.0,Distracter,1216.0,8861.0,1076.6,2476.1000000000004,1634.8,8089.0,2241.0,1304.1000000000001,759.7,NA,740.3,2063.8
Test2,M16,7,No Prediction,NA,No Prediction,NA,8861.0,NA,2789.7,2716.1,7555.6,7333.0,NA,538.4,876.0,NA,1705.7
Test2,M16,8,No Prediction,NA,Distracter,697.0,8963.0,497.5,1116.5,1279.0,4216.8,1935.0,278.5,738.0,419.5,NA,1735.3
Test3,M13,1,NA,NA,NA,NA,NA,458.6,1475.3,418.6,3927.4,NA,NA,NA,NA,NA,NA
Test3,M13,2,NA,NA,NA,NA,NA,NA,379.09999999999997,558.5,1196.9,NA,578.2,636.4,NA,NA,1214.6999999999998
Test3,M13,3,NA,NA,NA,NA,NA,1813.7,5008.0,NA,7616.0,NA,NA,356.1,494.3,NA,850.3
Test3,M13,4,NA,NA,NA,NA,NA,NA,4906.3,1410.5,8230.800000000001,NA,259.2,15.0,557.8,NA,832.0999999999999
Test3,M13,5,NA,NA,NA,NA,NA,290.5,2607.5,1836.9,7903.6,NA,1435.0,NA,1435.7,777.9000000000001,3126.7999999999997
Test3,M13,6,NA,NA,NA,NA,NA,NA,3688.6,1359.5,7544.9000000000005,NA,380.2,99.7,NA,NA,479.9
Test3,M13,7,NA,NA,NA,NA,NA,1518.3,980.0,1555.3,7866.0,NA,733.5,394.7,NA,733.5,1128.1000000000001
Test3,M13,8,NA,NA,NA,NA,NA,NA,1773.6000000000001,1518.3,7752.3,NA,3392.5,969.5,NA,1535.1999999999998,4362.0999999999995
Test3,M18,1,No Prediction,NA,Distracter,738.0,9333.0,463.3,3425.3,1119.1,7807.5999999999995,8e3,4433.2,458.7,817.6,1435.4,5709.5
Test3,M18,2,Distracter,2990.0,Distracter,558.0,8571.0,917.2,2700.2000000000003,358.9,5896.0,4571.0,2970.0,438.40000000000003,NA,1478.1,3408.5
Test3,M18,3,No Prediction,NA,No Prediction,NA,9143.0,2012.8,1418.1,879.1999999999999,4947.0,952.0,NA,254.80000000000004,NA,NA,573.9
Test3,M18,4,No Prediction,NA,No Prediction,NA,8952.0,598.3000000000001,2315.2,1060.1000000000001,6050.7,3333.0,2508.7999999999997,NA,NA,530.6999999999999,2779.4
Test3,M18,5,No Prediction,NA,No Prediction,NA,9048.0,941.2,3432.9,1819.0,7171.2,2190.0,1784.4,NA,NA,987.1999999999999,1964.0
Test3,M18,6,Goal,409.0,Goal,409.0,8587.0,NA,3352.6,877.1,5662.6,1714.0,274.2,NA,538.3,274.2,812.5
Test3,M18,7,No Prediction,NA,No Prediction,NA,8676.0,1354.8,2349.0,502.8,5326.5,3524.0,1908.1999999999998,NA,NA,460.7,2087.7
Test3,M18,8,Distracter,319.0,Goal,417.0,8952.0,834.5,500.29999999999995,815.9,3266.7999999999997,4667.0,605.1,433.3,476.7,243.4,1515.0
